id,topic,difficulty,question,options,correctAnswer,explanationRu,explanationPl
"pdf_B1_REKCJA_001","Rekcja czasowników","medium","Moja decyzja _______ wyników egzaminu.","A) zależy na | B) zależy z | C) zależy od","C","Глагол zależeć (зависеть) всегда требует предлога od + родительный падеж (dopełniacz).  Это одна из самых важных рекций для экзамена B1!  🔑 Запомни формулу: zależeć od kogo? / od czego?  Примеры: • To zależy od pogody. (Это зависит от погоды.) • Sukces zależy od ciężkiej pracy. (Успех зависит от тяжёлой работы.)  ❌ Почему не A: • ""zależy na"" — не существует такой конструкции  ❌ Почему не B: • ""zależy z"" — тоже неправильно; предлог ""z"" не сочетается с этим глаголом  💡 Сравни с русским: ""зависеть ОТ чего-то"" — здесь логика похожа!","Czasownik zależeć łączy się z przyimkiem od i wymaga dopełniacza.  🔑 Konstrukcja: zależeć od kogo? / od czego?  Przykłady: • To zależy od ciebie. • Wynik zależy od przygotowania.  ❌ Dlaczego nie A i B: • ""zależy na"" i ""zależy z"" — błędne konstrukcje, nie istnieją  💡 Inne czasowniki z od: zaczynać od, pochodzić od, uciekać od."
"pdf_B1_REKCJA_002","Rekcja czasowników","medium-high","Mój brat bardzo _______ historią Polski.","A) interesuje o | B) interesuje się | C) interesuje","B","Глагол interesować się (интересоваться) — это возвратный глагол, который требует творительного падежа (narzędnik) БЕЗ предлога.  🔑 Формула: interesować się kim? / czym?  Примеры: • Interesuję się muzyką. (Я интересуюсь музыкой.) • Ona interesuje się sportem. (Она интересуется спортом.)  ❌ Почему не A: • ""interesuje o"" — грубая ошибка, предлог ""o"" здесь не используется.  ❌ Почему не C: • ""interesuje"" без ""się"" означает ""интересует кого-то"" (переходный глагол):   ""Ta książka interesuje mnie"" = Эта книга интересует меня.  ⚠️ Типичная ошибка русскоязычных: путать ""interesować"" и ""interesować się""!","Czasownik zwrotny interesować się wymaga narzędnika (kim? czym?) bez przyimka.  🔑 Konstrukcja: interesować się + narzędnik  Przykłady: • Interesuję się sztuką. • Dzieci interesują się dinozaurami.  ❌ Dlaczego nie A: • Przyimek ""o"" nie łączy się z tym czasownikiem.  ❌ Dlaczego nie C: • ""interesować"" (bez ""się"") to czasownik przechodni: ""Ta sprawa interesuje policję.""  💡 Inne czasowniki z narzędnikiem: zajmować się, opiekować się, martwić się."
"pdf_B1_NEGACJA_001","Negacja + dopełniacz","medium","Wczoraj kupiłem nowy telefon, ale dzisiaj nie mam już _______.","A) nowy telefon | B) nowego telefonu | C) nowym telefonem","B","При отрицании в польском языке винительный падеж (biernik) меняется на родительный (dopełniacz)!  🔑 Правило: NIE + глагол → dopełniacz вместо biernika  Сравни: ✅ Mam nowy telefon. (Biernik — без отрицания) ✅ Nie mam nowego telefonu. (Dopełniacz — с отрицанием)  ❌ Почему не A: • ""nowy telefon"" — это biernik, но после ""nie mam"" нужен dopełniacz.  ❌ Почему не C: • ""nowym telefonem"" — это narzędnik (творительный), здесь он неуместен.  ⚠️ Это КЛАССИЧЕСКАЯ ловушка на экзамене B1! Русскоязычные часто забывают менять падеж при отрицании.  💡 Работает с глаголами: nie mam, nie widzę, nie znam, nie lubię, nie chcę...","W zdaniach przeczących biernik zmienia się na dopełniacz.  🔑 Reguła: NIE + czasownik → dopełniacz zamiast biernika  Porównaj: ✅ Widzę samochód. (biernik) ✅ Nie widzę samochodu. (dopełniacz)  ❌ Dlaczego nie A: • ""nowy telefon"" to biernik — po ""nie mam"" wymagany jest dopełniacz.  ❌ Dlaczego nie C: • ""nowym telefonem"" to narzędnik — zły przypadek.  💡 Ta reguła dotyczy czasowników: nie mieć, nie widzieć, nie znać, nie lubić, nie chcieć..."
"pdf_B1_ZAIMKI_001","Zaimki osobowe","medium-high","Widziałem Annę wczoraj. Dałem _______ książkę, którą chciała.","A) ją | B) ona | C) jej","C","Здесь нужен местоимение в дательном падеже (celownik), потому что глагол dać требует: dać KOMU? CO?  🔑 Формы местоимения ona: • Mianownik (кто?): ona • Dopełniacz (кого?): jej / niej • Celownik (кому?): jej / niej • Biernik (кого?): ją / nią • Narzędnik (с кем?): nią • Miejscownik (о ком?): niej  ❌ Почему не A: • ""ją"" — это biernik (винительный): ""Widzę ją"" (Вижу её) • Но ""dać"" требует celownik: ""Daję JEJ"" (Даю ЕЙ)  ❌ Почему не B: • ""ona"" — это именительный падеж, используется только как подлежащее.  ⚠️ Ловушка: ""jej"" может быть и dopełniaczem, и celownikiem! Контекст решает.","Czasownik dać wymaga celownika (komu?) i biernika (co?): dać KOMU książkę.  🔑 Odmiana zaimka ona: • Mianownik: ona • Dopełniacz: jej / niej • Celownik: jej / niej • Biernik: ją / nią  ❌ Dlaczego nie A: • ""ją"" to biernik — używamy go np. ""Widzę ją"", ale nie ""Daję ją książkę"".  ❌ Dlaczego nie B: • ""ona"" to mianownik — tylko dla podmiotu zdania.  💡 Pamiętaj: dać komu? — celownik!"
"pdf_B1_ZEBY_001","Infinityw vs żeby","high","Mama poprosiła mnie, _______ wcześniej wrócił do domu.","A) żeby | B) żebym | C) że","B","После глагола prosić (просить), когда субъект главного и придаточного предложения РАЗНЫЙ, используется конструкция żeby + личная форма глагола.  🔑 Правило: • Один субъект → инфинитив: ""Chcę wrócić"" (Я хочу вернуться) • Разные субъекты → żeby + личная форма: ""Mama chce, żebym wrócił"" (Мама хочет, чтобы Я вернулся)  Формы żeby по лицам: • ja → żebym • ty → żebyś • on/ona → żeby • my → żebyśmy • wy → żebyście • oni/one → żeby  ❌ Почему не A: • ""żeby"" без окончания используется для 3-го лица: ""Mama chce, żeby ON wrócił"" • Но здесь ""mnie"" указывает на 1-е лицо → нужно ""żebym""  ❌ Почему не C: • ""że"" — это союз ""что"", не ""чтобы"". Он вводит факт, а не просьбу/желание.","Po czasowniku prosić, gdy podmiot zdania głównego i podrzędnego jest różny, używamy konstrukcji żeby + forma osobowa.  🔑 Reguła: • Ten sam podmiot → bezokolicznik: ""Chcę wrócić"" • Różne podmioty → żeby + forma osobowa: ""Mama chce, żebym wrócił""  Formy żeby: • ja → żebym • ty → żebyś • on/ona → żeby • my → żebyśmy • wy → żebyście • oni/one → żeby  ❌ Dlaczego nie A: • ""żeby"" bez końcówki to forma dla 3. osoby • ""mnie"" wskazuje na 1. osobę → potrzebujemy ""żebym""  ❌ Dlaczego nie C: • ""że"" wprowadza fakt, nie prośbę: ""Wiem, że wrócił"" vs ""Proszę, żeby wrócił"""
"pdf_B1_WARUNEK_001","Zdania warunkowe","medium-high","_______ miał więcej czasu, pojechałbym na wakacje.","A) Jeśli | B) Kiedy | C) Gdybym","C","Здесь нужен союз для нереального условия (tryb warunkowy / условное наклонение).  🔑 Разница между союзами:  GDYBY — нереальное условие (сослагательное): • Gdybym miał pieniądze, kupiłbym dom. (Если бы у меня были деньги...) • Используется с формами на -bym, -byś, -by...  JEŚLI / JEŻELI — реальное условие (изъявительное): • Jeśli będę miał czas, przyjdę. (Если у меня будет время...) • Используется с обычными временами  KIEDY — временной союз (когда): • Kiedy przyjdziesz, zadzwoń. (Когда придёшь, позвони.)  ❌ Почему не A: • ""Jeśli"" требует реального условия и изъявительного наклонения • Но ""pojechałbym"" — это условное наклонение!  ❌ Почему не B: • ""Kiedy"" — это ""когда"", не ""если бы""  ⚠️ Обрати внимание: окончание -bym присоединяется к gdyby → gdybym!","Potrzebujemy spójnika dla warunku nierealnego (tryb warunkowy).  🔑 Różnica między spójnikami:  GDYBY — warunek nierealny: • Gdybym wiedział, powiedziałbym ci. • Łączy się z trybem warunkowym (-bym, -byś, -by...)  JEŚLI / JEŻELI — warunek realny: • Jeśli będziesz chciał, pomogę ci. • Łączy się z trybem oznajmującym  KIEDY — spójnik czasowy: • Kiedy skończysz, zadzwoń.  ❌ Dlaczego nie A: • ""Jeśli"" wymaga trybu oznajmującego, a ""pojechałbym"" to tryb warunkowy.  💡 Końcówki osobowe łączą się z gdyby: gdybym, gdybyś, gdyby, gdybyśmy, gdybyście, gdyby."
"pdf_B1_SZYK_001","Szyk zdania","medium","Która forma jest poprawna?","A) Się bardzo cieszę, że przyjechałeś. | B) Bardzo się cieszę, że przyjechałeś. | C) Cieszę bardzo się, że przyjechałeś.","B","Частица się в польском языке имеет строгие правила расположения!  🔑 Главное правило: się НИКОГДА не стоит в начале предложения!  Правильные позиции: 1. После первого ударного слова: ""Bardzo się cieszę"" 2. После глагола: ""Cieszę się bardzo"" (тоже верно)  ❌ Почему не A: • ""Się"" в начале предложения — грубая ошибка! • Это НЕВОЗМОЖНО в польском языке.  ❌ Почему не C: • ""Cieszę bardzo się"" — неестественный порядок слов • ""się"" не должно стоять в конце фразы после наречия  ⚠️ Запомни: если предложение начинается с наречия или другого слова, ""się"" идёт сразу после него!","Partykuła się ma ścisłe reguły dotyczące miejsca w zdaniu.  🔑 Główna zasada: się NIGDY nie stoi na początku zdania!  Poprawne pozycje: 1. Po pierwszym wyrazie akcentowanym: ""Bardzo się cieszę"" 2. Po czasowniku: ""Cieszę się bardzo""  ❌ Dlaczego nie A: • ""Się"" na początku zdania to błąd!  ❌ Dlaczego nie C: • ""Cieszę bardzo się"" — nienaturalny szyk  💡 Zasada: ""się"" zajmuje drugą pozycję w zdaniu (po pierwszym wyrazie akcentowanym)."
"pdf_B1_BEZOSOBOWE_001","Formy bezosobowe","high","W tym muzeum _______ fotografować.","A) się nie wolno | B) nie można się | C) nie wolno","C","Безличные конструкции — важная тема B1!  🔑 Основные безличные выражения: • wolno — можно, разрешено • nie wolno — нельзя, запрещено • można — можно (возможность) • nie można — нельзя (невозможность) • trzeba — нужно, надо • warto — стоит  Структура: wolno/można/trzeba + bezokolicznik (инфинитив)  ✅ ""Nie wolno fotografować"" = Фотографировать запрещено  ❌ Почему не A: • ""się"" не может стоять в начале предложения! • И здесь ""się"" вообще не нужно  ❌ Почему не B: • ""nie można się"" — лишнее ""się"", потому что ""fotografować"" не возвратный глагол • Было бы правильно: ""Nie można się śmiać"" (Нельзя смеяться) — но там глагол возвратный!  ⚠️ Эти конструкции очень частые на экзамене и в повседневной речи!","Konstrukcje bezosobowe to ważny temat na poziomie B1.  🔑 Podstawowe wyrażenia bezosobowe: • wolno — jest dozwolone • nie wolno — jest zabronione • można — jest możliwe • trzeba — jest konieczne • warto — jest wartościowe  Struktura: wolno/można/trzeba + bezokolicznik  ✅ ""Nie wolno fotografować"" = Fotografowanie jest zabronione  ❌ Dlaczego nie A: • ""się"" nie może stać na początku zdania  ❌ Dlaczego nie B: • ""się"" jest zbędne — ""fotografować"" nie jest czasownikiem zwrotnym  💡 Te konstrukcje są bardzo częste w codziennym języku i na egzaminie!"
"pdf_B1_REKCJA_TEKST_001","Rekcja czasowników","medium-high","Moja siostra od dziecka marzyła _______ zostaniu lekarką. Teraz studiuje medycynę i jest bardzo szczęśliwa.","A) o | B) na | C) z","A","Глагол marzyć (мечтать) требует предлога o + miejscownik (предложный падеж).  🔑 Формула: marzyć o kim? / o czym?  Примеры: • Marzę o podróży dookoła świata. (Мечтаю о путешествии...) • On marzy o nowym samochodzie. (Он мечтает о новой машине.)  Обрати внимание на форму: ""o zostaniu"" — это miejscownik от ""zostanie"" (существительное от глагола ""zostać"").  ❌ Почему не B: • ""marzyć na"" — не существует такой конструкции  ❌ Почему не C: • ""marzyć z"" — тоже неправильно  💡 Похожие глаголы с o: • myśleć o (думать о) • pamiętać o (помнить о) • zapomnieć o (забыть о) • opowiadać o (рассказывать о)","Czasownik marzyć łączy się z przyimkiem o i wymaga miejscownika.  🔑 Konstrukcja: marzyć o kim? / o czym?  Przykłady: • Marzę o wakacjach. • Dzieci marzą o prezentach.  ❌ Dlaczego nie B i C: • ""marzyć na"" i ""marzyć z"" — błędne konstrukcje  💡 Inne czasowniki z o + miejscownik: • myśleć o, pamiętać o, zapomnieć o, rozmawiać o, opowiadać o"
"pdf_B1_SPOJNIKI_001","Spójniki czasowe","medium","_______ wyjdziesz z domu, sprawdź, czy zamknąłeś okna.","A) Chociaż | B) Dopóki | C) Zanim","C","Здесь нужен союз, который означает ""прежде чем"" / ""до того как"".  🔑 Разница между союзами:  ZANIM — прежде чем, до того как: • Zanim zaśniesz, przeczytaj książkę. (Прежде чем заснёшь...) • Действие в придаточном происходит РАНЬШЕ  DOPÓKI — пока (не): • Dopóki nie skończysz, nie wyjdziesz. (Пока не закончишь...) • Указывает на продолжительность  CHOCIAŻ — хотя (уступительный): • Chociaż pada deszcz, pójdę na spacer. (Хотя идёт дождь...)  ❌ Почему не A: • ""Chociaż"" — это ""хотя"", не подходит по смыслу  ❌ Почему не B: • ""Dopóki wyjdziesz"" — не имеет смысла • Dopóki требует продолжительного действия  💡 Запомни порядок: ZANIM + действие, которое должно произойти ПОСЛЕ главного!","Potrzebujemy spójnika oznaczającego ""przed tym, jak"".  🔑 Różnica między spójnikami:  ZANIM — przed tym, jak: • Zanim wyjdziesz, zadzwoń do mamy. • Czynność w zdaniu podrzędnym następuje PÓŹNIEJ  DOPÓKI — tak długo, jak: • Dopóki żyję, będę walczyć. • Wskazuje na trwanie  CHOCIAŻ — mimo że (przyzwolenie): • Chociaż jestem zmęczony, pójdę na trening.  ❌ Dlaczego nie A: • ""Chociaż"" to spójnik przyzwolenia, nie czasowy  ❌ Dlaczego nie B: • ""Dopóki"" wymaga czynności trwającej  💡 Zapamiętaj: ZANIM + czynność, która nastąpi PO czynności głównej!"
