id,day,task_text,correct_answer,explanation_ru,explanation_pl,section,topic,format,type,task_id,is_free,createdAt,updatedAt
1,1,"Nie znam ___ jeszcze dobrze. 
A) on B) jego C) go D) mu",go,Czasownik „znać” łączy się z biernikiem.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,1,1,2025-12-28T17:04:05.587Z,2025-12-28T17:30:47.838Z
2,2,Wczoraj długo z ___ rozmawiałem. A) ona B) nią C) jej D) ją,nią,Przyimek „z” wymaga narzędnika.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,2,1,2025-12-28T17:04:05.588Z,2025-12-28T17:11:15.331Z
3,3,Oddzwonię do ___ jutro rano. A) on B) niego C) nim D) mu,niego,Przyimek „do” wymaga dopełniacza.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,3,1,2025-12-28T17:04:05.589Z,2025-12-28T17:11:15.828Z
4,4,Czy możesz ___ pomóc? A) on B) jego C) mu D) go,mu,Czasownik „pomóc” łączy się z celownikiem.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,4,1,2025-12-28T17:04:05.590Z,2025-12-28T17:11:23.166Z
5,5,Nie widziałem ___ od kilku dni. A) on B) jego C) go D) nim,go,Czasownik „widzieć” wymaga biernika.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,5,1,2025-12-28T17:04:05.591Z,2025-12-28T17:11:24.007Z
6,6,To prezent dla ___. A) on B) niego C) nim D) mu,niego,Przyimek „dla” łączy się z dopełniaczem.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,6,1,2025-12-28T17:04:05.593Z,2025-12-28T17:11:25.398Z
7,7,Rozmawiałem z ___ o nowym projekcie. A) on B) nim C) go D) mu,nim,„Z” + narzędnik.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,7,0,2025-12-28T17:04:05.594Z,2025-12-28T17:11:26.175Z
8,8,Nie pamiętam ___ nazwiska. A) on B) jego C) mu D) nim,jego,Czasownik „pamiętać” łączy się z dopełniaczem.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,8,0,2025-12-28T17:04:05.594Z,2025-12-28T17:11:27.849Z
9,9,Muszę ___ coś ważnego powiedzieć. A) on B) jego C) mu D) go,mu,„Powiedzieć” wymaga celownika.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,9,0,2025-12-28T17:04:05.595Z,2025-12-28T17:11:29.429Z
10,10,Nie ma ___ dziś w pracy. A) on B) jego C) go D) nim,go,Konstrukcja „nie ma kogo?” → dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,10,0,2025-12-28T17:04:05.596Z,2025-12-28T17:11:30.555Z
11,11,To zależy od ___ decyzji. A) on B) niego C) nim D) jego,jego,Przyimek „od” wymaga dopełniacza.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,11,0,2025-12-28T17:04:05.597Z,2025-12-28T17:11:31.239Z
12,12,Spotkałem się z ___ przypadkiem. A) on B) nim C) go D) mu,nim,„Z” + narzędnik.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,12,0,2025-12-28T17:04:05.597Z,2025-12-28T17:11:31.768Z
13,13,Nie mogę bez ___ pracować. A) on B) niego C) nim D) mu,niego,„Bez” + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,13,0,2025-12-28T17:04:05.598Z,2025-12-28T17:11:32.434Z
14,14,Czy znasz ___ dobrze? A) on B) jego C) go D) mu,go,Czasownik „znać” wymaga biernika.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,14,0,2025-12-28T17:04:05.599Z,2025-12-28T17:11:33.386Z
15,15,To wszystko dzięki ___ pomocy. A) on B) niego C) nim D) jego,jego,Konstrukcja „dzięki”.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,15,0,2025-12-28T17:04:05.600Z,2025-12-28T17:11:33.945Z
16,16,"Martwię się o ___ 
A) on B) niego C) nim D) mu",niego,„O” + biernik.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,16,0,2025-12-28T17:04:05.601Z,2025-12-28T18:39:05.316Z
17,17,Nie zgadzam się z ___ opinią. A) on B) nim C) go D) mu,nim,„Z” + narzędnik.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,17,0,2025-12-28T17:04:05.601Z,2025-12-28T17:11:37.136Z
18,18,"Zaufaj ___, proszę. A) on B) jego C) mu D) go",mu,„Zaufać” łączy się z celownikiem.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,18,0,2025-12-28T17:04:05.602Z,2025-12-28T17:11:38.224Z
19,19,Nie słuchałem ___ uważnie. A) on B) jego C) go D) mu,go,„Słuchać” → biernik.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,19,0,2025-12-28T17:04:05.603Z,2025-12-28T17:11:39.804Z
20,20,To pytanie dotyczy ___. A) on B) niego C) nim D) mu,niego,„Dotyczyć” wymaga dopełniacza.,,POPRAWNOŚĆ GRAMATYCZNA,Zaimki osobowe,single_choice,POPRAWNOŚĆ GRAMATYCZNA,20,0,2025-12-28T17:04:05.604Z,2025-12-28T17:11:41.982Z
21,21,Ten test był ___ niż poprzedni. A) trudny B) trudniejszy C) najtrudniejszy D) trudno,trudniejszy,Porównanie → stopień wyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,21,1,2025-12-28T17:04:05.605Z,2025-12-28T17:11:46.136Z
22,22,To jest ___ restauracja w mieście. A) dobra B) lepsza C) najlepsza D) dobrze,najlepsza,Najwyższy stopień przymiotnika.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,22,1,2025-12-28T17:04:05.606Z,2025-12-28T17:11:46.999Z
23,23,Dzisiaj pracuję ___ niż wczoraj. A) wydajnie B) wydajniej C) najwydajniej D) wydajny,wydajniej,Stopień wyższy przysłówka.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,23,1,2025-12-28T17:04:05.607Z,2025-12-28T17:11:47.925Z
